AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
203,331,E. Jefferson St.,Ann Arbor,,,,331 E. Jefferson St.
204,332,E. Jefferson St.,Ann Arbor,,,,332 E. Jefferson St.
206,402,E. Jefferson St.,Ann Arbor,,,,402 E. Jefferson St.
207,405,E. Jefferson St.,Ann Arbor,,,,405 E. Jefferson St.
208,500,E. Jefferson St.,Ann Arbor,,,,500 E. Jefferson St.
209,515,E. Jefferson St.,Ann Arbor,,,,515 E. Jefferson St.
2100,520,E. Jefferson St.,Ann Arbor,,,,520 E. Jefferson St.
2236,325,E. Jefferson St.,Ann Arbor,,,,325 E. Jefferson St.
205,338,E. Jefferson St.,Ann Arbor,Osterweil House Cooperative 1946 - Present,,,338 E. Jefferson St.
210,711,E. Kingsley St.,Ann Arbor,,,,711 E. Kingsley St.
212,215,E. Kingsley St.,Ann Arbor,,,,215 E. Kingsley St.
213,713,E. Kingsley St.,Ann Arbor,,42.285126,-83.740387,713 E. Kingsley St.
214,721,E. Kingsley St.,Ann Arbor,,,,721 E. Kingsley St.
215,409,E. Kingsley St.,Ann Arbor,,,,409 E. Kingsley St.
216,727,E. Kingsley St.,Ann Arbor,,42.285283,-83.739845,727 E. Kingsley St.
217,426,E. Kingsley St.,Ann Arbor,,,,426 E. Kingsley St.
218,803,E. Kingsley St.,Ann Arbor,,,,803 E. Kingsley St.
219,708,E. Kingsley St.,Ann Arbor,,,,708 E. Kingsley St.
220,809,E. Kingsley St.,Ann Arbor,,,,809 E. Kingsley St.
222,813,E. Kingsley St.,Ann Arbor,,,,813 E. Kingsley St.
706,407,E. Kingsley St.,Ann Arbor,,42.285011,-83.743358,407 E. Kingsley St.
2123,209,E. Kingsley St.,Ann Arbor,,,,209 E. Kingsley St.
223,310,E. Liberty St.,Ann Arbor,,,,310 E. Liberty St.
224,315,E. Liberty St.,Ann Arbor,,,,315 E. Liberty St.
225,326,E. Liberty St.,Ann Arbor,,,,326 E. Liberty St.
226,410,E. Liberty St.,Ann Arbor,,,,410 E. Liberty St.
227,607,E. Liberty St.,Ann Arbor,,,,607 E. Liberty St.
228,808,E. Liberty St.,Ann Arbor,,,,808 E. Liberty St.
1391,315,E. Madison,Ann Arbor,,,,315 E. Madison
245,316,E. Madison St,Ann Arbor,,,,316 E. Madison St
231,315,E. Madison St.,Ann Arbor,,,,315 E. Madison St.
232,316,E. Madison St.,Ann Arbor,,,,316 E. Madison St.
233,326,E. Madison St.,Ann Arbor,,,,326 E. Madison St.
234,332,E. Madison St.,Ann Arbor,,,,332 E. Madison St.
235,342,E. Madison St.,Ann Arbor,,,,342 E. Madison St.
236,401,E. Madison St.,Ann Arbor,,,,401 E. Madison St.
237,502,E. Madison St.,Ann Arbor,,42.273922,-83.742818,502 E. Madison St.
238,508,E. Madison St.,Ann Arbor,,42.273927,-83.742843,508 E. Madison St.
239,516,E. Madison St.,Ann Arbor,,42.273911,-83.742761,516 E. Madison St.
240,520,E. Madison St.,Ann Arbor,,42.273911,-83.742687,520 E. Madison St.
241,604,E. Madison St.,Ann Arbor,,42.274373,-83.741867,604 E. Madison St.
242,608,E. Madison St.,Ann Arbor,,42.274406,-83.741384,608 E. Madison St.
2095,612,E. Madison St.,Ann Arbor,,42.274423,-83.741281,612 E. Madison St.
229,316,E. Madison St. ,Ann Arbor,,,,316 E. Madison St. 
230,326,E. Madison St. ,Ann Arbor,,,,326 E. Madison St. 
249,822,E. Seventh St.,Ann Arbor,,,,822 E. Seventh St.
250,105,E. Summit St.,Ann Arbor,,42.288534,-83.746982,105 E. Summit St.
251,110,E. Summit St.,Ann Arbor,,,,110 E. Summit St.
252,113,E. Summit St.,Ann Arbor,,,,113 E. Summit St.
253,116,E. Summit St.,Ann Arbor,,42.287988,-83.746781,116 E. Summit St.
254,120,E. Summit St.,Ann Arbor,,42.28794,-83.746656,120 E. Summit St.
255,121,E. Summit St.,Ann Arbor,,,,121 E. Summit St.
256,310,E. Summit St.,Ann Arbor,,,,310 E. Summit St.
2137,127,E. Summit St.,Ann Arbor,,,,127 E. Summit St.
258,25,E. University Ave.,Ann Arbor,,,,#25 E. University Ave.
259,1011,E. University Ave.,Ann Arbor,,,,1011 E. University Ave.
260,1209,E. University Ave.,Ann Arbor,,,,1209 E. University Ave.
261,1324,E. University Ave.,Ann Arbor,,,,1324 E. University Ave.
263,533,E. University Ave.,Ann Arbor,,,,533 E. University Ave.
264,549,E. University Ave.,Ann Arbor,,42.272074,-83.735725,549 E. University Ave.
265,617,E. University Ave.,Ann Arbor,,,,617 E. University Ave.
266,702,E. University Ave.,Ann Arbor,,,,702 E. University Ave.
267,724,E. University Ave.,Ann Arbor,,,,724 E. University Ave.
269,809,E. University Ave.,Ann Arbor,,,,809 E. University Ave.
271,815,E. University Ave.,Ann Arbor,,,,815 E. University Ave.
272,825,E. University Ave.,Ann Arbor,,,,825 E. University Ave.
273,832,E. University Ave.,Ann Arbor,,,,832 E. University Ave.
275,841,E. University Ave.,Ann Arbor,,42.270708,-83.735354,841 E. University Ave.
2133,919,E. University Ave.,Ann Arbor,,,,919 E. University Ave.
2134,445,E. University Ave.,Ann Arbor,,42.272628,-83.735741,445 E. University Ave.
2149,427,E. University Ave.,Ann Arbor,,,,427 E. University Ave.
2248,421,E. University Ave.,Ann Arbor,,,,421 E. University Ave.
268,733,E. University Ave.,Ann Arbor,'40 stud. direct. 701 Forest '41 stud direct,xxx,,733 E. University Ave.
270,814,E. University Ave.,Ann Arbor,Brandeis House Cooperative 1940 - 1942,,,814 E. University Ave.
274,909,E. University Ave.,Ann Arbor,Lester House Cooperative 1940 - 1943,,,909 E. University Ave.
276,1050,E. Wall St.,Ann Arbor,,42.287452,-83.734708,1050 E. Wall St.
